id,ln_count,ln_finished,fi_done,fi_name
237,1561746,0,False,0_sorted_file_88.txt
238,1503705,0,False,0_sorted_file_89.txt
239,1615149,0,False,0_sorted_file_9.txt
240,1562643,0,False,0_sorted_file_90.txt
241,1502550,0,False,0_sorted_file_91.txt
242,1556131,0,False,0_sorted_file_92.txt
243,1685168,0,False,0_sorted_file_93.txt
244,1615093,0,False,0_sorted_file_94.txt
245,1524066,0,False,0_sorted_file_95.txt
246,1524273,0,False,0_sorted_file_96.txt
247,1524097,0,False,0_sorted_file_97.txt
248,1524220,0,False,0_sorted_file_98.txt
249,1524124,0,False,0_sorted_file_99.txt
250,1516203,0,False,100_data_file_0.txt
251,1633059,0,False,100_data_file_1.txt
252,1516334,0,False,101_data_file_0.txt
253,160180,0,False,101_data_file_1.txt
254,1516336,0,False,102_data_file_0.txt
255,1516431,0,False,103_data_file_0.txt
256,1523586,0,False,104_data_file_0.txt
257,1533891,0,False,105_data_file_0.txt
258,1533833,0,False,106_data_file_0.txt
259,1533733,0,False,107_data_file_0.txt
260,1533662,0,False,108_data_file_0.txt
261,1533763,0,False,109_data_file_0.txt
262,1496776,0,False,10_data_file_0.txt
263,1319776,0,False,10_data_file_1.txt
264,1615549,0,False,10_data_file_10.txt
265,1615284,0,False,10_data_file_11.txt
266,1591679,0,False,10_sorted_file_12.txt
267,1711417,0,False,10_sorted_file_13.txt
268,1504349,0,False,10_sorted_file_14.txt
269,1553113,0,False,10_sorted_file_15.txt
270,1709052,0,False,10_sorted_file_16.txt
271,1576800,0,False,10_sorted_file_17.txt
272,1560040,0,False,10_sorted_file_18.txt
273,1701792,0,False,10_sorted_file_19.txt
274,1494133,0,False,10_sorted_file_2.txt
275,1686986,0,False,10_sorted_file_20.txt
276,1701594,0,False,10_sorted_file_21.txt
277,1601075,0,False,10_sorted_file_22.txt
278,1663864,0,False,10_sorted_file_23.txt
279,1670867,0,False,10_sorted_file_24.txt
280,1551229,0,False,10_sorted_file_25.txt
281,1592583,0,False,10_sorted_file_26.txt
282,1686510,0,False,10_sorted_file_27.txt
283,1550775,0,False,10_sorted_file_28.txt
284,1523826,0,False,10_sorted_file_29.txt
285,1598760,0,False,10_sorted_file_3.txt
286,1603722,0,False,10_sorted_file_30.txt
287,1675473,0,False,10_sorted_file_31.txt
288,1621333,0,False,10_sorted_file_32.txt
289,1525919,0,False,10_sorted_file_33.txt
290,1613024,0,False,10_sorted_file_34.txt
291,1653718,0,False,10_sorted_file_35.txt
292,1523007,0,False,10_sorted_file_36.txt
293,1714451,0,False,10_sorted_file_37.txt
294,1574559,0,False,10_sorted_file_38.txt
295,1669108,0,False,10_sorted_file_39.txt
296,1578183,0,False,10_sorted_file_4.txt
297,1665397,0,False,10_sorted_file_40.txt
298,1728237,0,False,10_sorted_file_41.txt
299,1590604,0,False,10_sorted_file_42.txt
300,1570179,0,False,10_sorted_file_43.txt
301,1656469,0,False,10_sorted_file_44.txt
302,1623289,0,False,10_sorted_file_45.txt
303,1889557,0,False,10_sorted_file_46.txt
304,1543825,0,False,10_sorted_file_47.txt
305,1556230,0,False,10_sorted_file_48.txt
306,1586472,0,False,10_sorted_file_49.txt
307,1510300,0,False,10_sorted_file_5.txt
308,1492260,0,False,10_sorted_file_50.txt
309,1529857,0,False,10_sorted_file_51.txt
310,1632773,0,False,10_sorted_file_52.txt
311,1544291,0,False,10_sorted_file_53.txt
312,1495471,0,False,10_sorted_file_54.txt
313,456808,0,False,10_sorted_file_55.txt
314,343978,0,False,10_sorted_file_56.txt
315,118875,0,False,10_sorted_file_57.txt
316,1573697,0,False,10_sorted_file_6.txt
317,1571884,0,False,10_sorted_file_7.txt
318,1508369,0,False,10_sorted_file_8.txt
319,1551834,0,False,10_sorted_file_9.txt
320,1518315,0,False,110_data_file_0.txt
321,1515727,0,False,111_data_file_0.txt
322,1515882,0,False,112_data_file_0.txt
323,1515907,0,False,113_data_file_0.txt
324,1502789,0,False,114_data_file_0.txt
325,1487558,0,False,115_data_file_0.txt
326,1487463,0,False,116_data_file_0.txt
327,1487963,0,False,117_data_file_0.txt
328,1487602,0,False,118_data_file_0.txt
329,1488056,0,False,119_data_file_0.txt
330,1496529,0,False,11_data_file_0.txt
331,1313438,0,False,11_data_file_1.txt
332,1640968,0,False,11_data_file_10.txt
333,1667084,0,False,11_data_file_11.txt
334,1590582,0,False,11_sorted_file_12.txt
335,1706201,0,False,11_sorted_file_13.txt
336,1570151,0,False,11_sorted_file_14.txt
337,1539118,0,False,11_sorted_file_15.txt
338,1681328,0,False,11_sorted_file_16.txt
339,1532436,0,False,11_sorted_file_17.txt
340,1598728,0,False,11_sorted_file_18.txt
341,1664338,0,False,11_sorted_file_19.txt
342,1528632,0,False,11_sorted_file_2.txt
343,1681191,0,False,11_sorted_file_20.txt
344,1730641,0,False,11_sorted_file_21.txt
345,1621708,0,False,11_sorted_file_22.txt
346,1702322,0,False,11_sorted_file_23.txt
347,1711617,0,False,11_sorted_file_24.txt
348,1588289,0,False,11_sorted_file_25.txt
349,1595927,0,False,11_sorted_file_26.txt
350,1573412,0,False,11_sorted_file_27.txt
351,1562321,0,False,11_sorted_file_28.txt
352,1517426,0,False,11_sorted_file_29.txt
353,1618069,0,False,11_sorted_file_3.txt
354,1679524,0,False,11_sorted_file_30.txt
355,1673144,0,False,11_sorted_file_31.txt
356,1645717,0,False,11_sorted_file_32.txt
357,1551330,0,False,11_sorted_file_33.txt
358,1563485,0,False,11_sorted_file_34.txt
359,1585437,0,False,11_sorted_file_35.txt
360,1556232,0,False,11_sorted_file_36.txt
361,1538068,0,False,11_sorted_file_37.txt
362,1714578,0,False,11_sorted_file_38.txt
363,1587352,0,False,11_sorted_file_39.txt
364,1599357,0,False,11_sorted_file_4.txt
365,1748808,0,False,11_sorted_file_40.txt
366,1648557,0,False,11_sorted_file_41.txt
367,1601144,0,False,11_sorted_file_42.txt
368,1599124,0,False,11_sorted_file_43.txt
369,1701687,0,False,11_sorted_file_44.txt
370,1643497,0,False,11_sorted_file_45.txt
371,1888108,0,False,11_sorted_file_46.txt
372,1544226,0,False,11_sorted_file_47.txt
373,1556096,0,False,11_sorted_file_48.txt
374,1601845,0,False,11_sorted_file_49.txt
375,1523337,0,False,11_sorted_file_5.txt
376,1492278,0,False,11_sorted_file_50.txt
377,1529826,0,False,11_sorted_file_51.txt
378,1633237,0,False,11_sorted_file_52.txt
379,273682,0,False,11_sorted_file_53.txt
380,177200,0,False,11_sorted_file_54.txt
381,1594470,0,False,11_sorted_file_6.txt
382,1537356,0,False,11_sorted_file_7.txt
383,1478026,0,False,11_sorted_file_8.txt
384,1581165,0,False,11_sorted_file_9.txt
385,1496431,0,False,120_data_file_0.txt
386,1505021,0,False,121_data_file_0.txt
387,1505129,0,False,122_data_file_0.txt
388,1504886,0,False,123_data_file_0.txt
389,1504877,0,False,124_data_file_0.txt
390,1522224,0,False,125_data_file_0.txt
391,1526442,0,False,126_data_file_0.txt
392,1526170,0,False,127_data_file_0.txt
393,1526272,0,False,128_data_file_0.txt
394,1526004,0,False,129_data_file_0.txt
395,1496682,0,False,12_data_file_0.txt
396,1333700,0,False,12_data_file_1.txt
397,1630999,0,False,12_data_file_10.txt
398,1592700,0,False,12_data_file_11.txt
399,1628693,0,False,12_sorted_file_12.txt
400,1685878,0,False,12_sorted_file_13.txt
401,1570662,0,False,12_sorted_file_14.txt
402,1565241,0,False,12_sorted_file_15.txt
403,1637634,0,False,12_sorted_file_16.txt
404,1563517,0,False,12_sorted_file_17.txt
405,1607485,0,False,12_sorted_file_18.txt
406,1656714,0,False,12_sorted_file_19.txt
407,1543712,0,False,12_sorted_file_2.txt
408,1716878,0,False,12_sorted_file_20.txt
409,1707593,0,False,12_sorted_file_21.txt
410,1583130,0,False,12_sorted_file_22.txt
411,1706649,0,False,12_sorted_file_23.txt
412,1645998,0,False,12_sorted_file_24.txt
413,1566257,0,False,12_sorted_file_25.txt
414,1569428,0,False,12_sorted_file_26.txt
415,1562885,0,False,12_sorted_file_27.txt
416,1533510,0,False,12_sorted_file_28.txt
417,1524696,0,False,12_sorted_file_29.txt
418,1591700,0,False,12_sorted_file_3.txt
419,1701731,0,False,12_sorted_file_30.txt
420,1704318,0,False,12_sorted_file_31.txt
421,1657131,0,False,12_sorted_file_32.txt
422,1599624,0,False,12_sorted_file_33.txt
423,1575756,0,False,12_sorted_file_34.txt
424,1570983,0,False,12_sorted_file_35.txt
425,1573437,0,False,12_sorted_file_36.txt
426,1572929,0,False,12_sorted_file_37.txt
427,1702579,0,False,12_sorted_file_38.txt
428,1600157,0,False,12_sorted_file_39.txt
429,1623683,0,False,12_sorted_file_4.txt
430,1720599,0,False,12_sorted_file_40.txt
431,1676351,0,False,12_sorted_file_41.txt
432,1586403,0,False,12_sorted_file_42.txt
433,1574494,0,False,12_sorted_file_43.txt
434,1592291,0,False,12_sorted_file_44.txt
435,1616976,0,False,12_sorted_file_45.txt
436,1903731,0,False,12_sorted_file_46.txt
437,1543689,0,False,12_sorted_file_47.txt
438,1556063,0,False,12_sorted_file_48.txt
439,1594367,0,False,12_sorted_file_49.txt
440,1520426,0,False,12_sorted_file_5.txt
441,1492181,0,False,12_sorted_file_50.txt
442,1530125,0,False,12_sorted_file_51.txt
443,1632791,0,False,12_sorted_file_52.txt
444,1666445,0,False,12_sorted_file_6.txt
445,1536551,0,False,12_sorted_file_7.txt
446,1567651,0,False,12_sorted_file_8.txt
447,1560609,0,False,12_sorted_file_9.txt
448,1525966,0,False,130_data_file_0.txt
449,1525806,0,False,131_data_file_0.txt
450,1131347,0,False,132_data_file_0.txt
451,1496695,0,False,13_data_file_0.txt
452,1346807,0,False,13_data_file_1.txt
453,1631808,0,False,13_data_file_10.txt
454,1574458,0,False,13_data_file_11.txt
455,1610256,0,False,13_sorted_file_12.txt
456,1713604,0,False,13_sorted_file_13.txt
457,1583784,0,False,13_sorted_file_14.txt
458,1551279,0,False,13_sorted_file_15.txt
459,1570870,0,False,13_sorted_file_16.txt
460,1543043,0,False,13_sorted_file_17.txt
461,1604810,0,False,13_sorted_file_18.txt
462,1686462,0,False,13_sorted_file_19.txt
463,1535757,0,False,13_sorted_file_2.txt
464,1683909,0,False,13_sorted_file_20.txt
465,1696649,0,False,13_sorted_file_21.txt
466,1609367,0,False,13_sorted_file_22.txt
467,1541770,0,False,13_sorted_file_23.txt
468,1677123,0,False,13_sorted_file_24.txt
469,1584973,0,False,13_sorted_file_25.txt
470,1587002,0,False,13_sorted_file_26.txt
471,1549649,0,False,13_sorted_file_27.txt
472,1552353,0,False,13_sorted_file_28.txt
473,1513134,0,False,13_sorted_file_29.txt
474,1559093,0,False,13_sorted_file_3.txt
475,1662702,0,False,13_sorted_file_30.txt
476,1670028,0,False,13_sorted_file_31.txt
